00:00|midnight|You take a black cat---isn't that it?---that does not have even one white hair (you know this), and you bind his four paws, and then you take him at midnight to a crossroads and you cry out in a loud voice:|The Name of the Rose|Umberto Eco|unknown
00:00|midnight|And I was the lion you do not remember who pushed the boat in which you lay, a child near death, so that it came to the shore where a man sat, wakeful at midnight, to receive you.|The Horse and His Boy|C.S. Lewis|unknown
00:00|midnight|If Jill had been more used to adventures, she might have doubted the Owl’s word, but this never occurred to her; and in the exciting idea of a midnight escape she forgot her sleepiness.|The Silver Chair|C.S. Lewis|unknown
00:00|midnight|The Place St. Sulpice, so quiet and deserted, where toward midnight there came every night the woman with the busted umbrella and the crazy veil. Every night she slept there on a bench under her torn umbrella, the ribs hanging down, her dress turning green, her bony fingers and the odor of decay oozing from her body; and in the morning I’d be sitting there myself, taking a quiet snooze in the sunshine, cursing the god-damned pigeons gathering up the crumbs everywhere.|Tropic of Cancer|Henry Miller|nsfw
00:00|midnight|The house is empty, but Eugene sings as if he had for audience all the crowned heads of Europe. The garden door is open and the odor of wet leaves sops in and the rain blends with Eugene’s 𝘢𝘯𝘨𝘰𝘪𝘴𝘴𝘦 and 𝘵𝘳𝘪𝘴𝘵𝘦𝘴𝘴𝘦. At midnight, after the spectators have saturated the hall with perspiration and foul breaths, I return to sleep on a bench. The exit light, swimming in a halo of tobacco smoke, sheds a faint light on the lower corner of the asbestos curtain; I close my eyes every night on an artificial eye ...|Tropic of Cancer|Henry Miller|unknown
00:00|midnight|Farewell, sweet playfellow: pray thou for us; And good luck grant thee thy Demetrius!- Keep word, Lysander: we must starve our sight From lovers’ food till morrow deep midnight.|A Midsummer Night’s Dream|William Shakespeare|unknown
00:00|twelve o’clock|“I shall never forget his flying Henry’s kite for him that very windy day last Easter—and ever since his particular kindness last September twelvemonth in writing that note, at twelve o’clock at night, on purpose to assure me that there was no scarlet fever at Cobham, I have been convinced there could not be a more feeling heart nor a better man in existence.—If any body can deserve him, it must be Miss Taylor.”|Emma|Jane Austen|unknown
00:00|twelve o’clock|On the night after his ride to Lawrenceville a crowd sallied to New York in quest of adventure, and started back to Princeton about twelve o’clock in two machines. It had been a gay party and different stages of sobriety were represented.|This Side of Paradise|F. Scott Fitzgerald|unknown
00:00|midnight|As midnight was striking bronze blows upon the dusky air, Dorian Gray, dressed commonly, and with a muffler wrapped round his throat, crept quietly out of his house.|The Picture of Dorian Gray|Oscar Wilde|unknown
00:00|midnight|"But wait till I tell you, he said. ""We had a midnight lunch too after all the jollification and when we sallied forth it was blue o'clock the morning after the night before."" "|Ulysses|James Joyce|unknown
00:00|midnight|Midnight, you said. What is midnight to the young? And suddenly a festive blaze was flung Across five cedar trunks, snow patches showed, And a patrol car on our bumpy road Came to a crunching stop. Retake, retake!|Pale Fire|Vladimir Nabokov|unknown
00:00|midnight|At midnight his wife and daughter might still be bustling about, preparing holiday delicacies in the kitchen, straightening up the house, or perhaps getting their kimonos ready or arranging flowers. Oki would sit in the living room and listen to the radio. As the bells rang he would look back at the departing year. He always found it a moving experience.|Beauty and Sadness|Yasunari Kawabata|unknown
00:00|twelve|Bernardo: 'Tis now struck twelve; get thee to bed, Francisco.|Hamlet|William Shakespeare|unknown
00:00|midnight|But, odder still - Big Ben had once again struck midnight. The time outside still corresponded to that registered by the stopped gilt clock, inside. Inside and outside matched exactly, but both were badly wrong. H'm.|Nights at the Circus|Angela Carter|sfw
00:00|midnight|But in the end I understood this language. I understood it, I understood it, all wrong perhaps. That is not what matters. It told me to write the report. Does this mean I am freer now than I was? I do not know. I shall learn. Then I went back into the house and wrote, It is midnight. The rain is beating on the windows. It was not midnight. It was not raining.|Molloy|Samuel Beckett|unknown
00:00|0000h.|Cartridges not allowed after 0000h., to encourage sleep.|Infinite Jest|David Foster Wallace|unknown
00:00|0000h|Gately can hear the horns and raised voices and u-turn squeals way down below on Wash. That indicates it's around 0000h., the switching hour.|Infinite Jest|David Foster Wallace|unknown
00:00|twelve|Hamlet: What hour now? Horatio: I think it lacks of twelve. Marcellus: No, it is struck.|Hamlet|William Shakespeare|unknown
00:00|midnight|He is certain he heard footsteps: they come nearer, and then die away. The ray of light beneath his door is extinguished. It is midnight; some one has turned out the gas; the last servant has gone to bed, and he must lie all night in agony with no one to bring him any help.|Swann's Way|Marcel Proust|unknown
00:00|midnight|I was born in the city of Bombay . . . On the stroke of midnight, as a matter of fact. Clock-hands joined palms in respectful greeting as I came. Oh, spell it out, spell it out: at the precise instant of India's arrival at independence, I tumbled forth into the world.|Midnight's Children|Salman Rushdie|unknown
00:00|midnight|It is midnight. The rain is beating on the windows. I am calm. All is sleeping. Nevertheless I get up and go to my desk. I can't sleep.|Molloy|Samuel Beckett|unknown
00:00|midnight|Midnight had come upon the crowded city. The palace, the night-cellar, the jail, the madhouse; the chambers of birth and death, of health and sickness; the rigid face of the corpse and the calm sleep of the child - midnight was upon them all.|Oliver Twist|Charles Dickens|unknown
00:00|twelve|The clock striketh twelve O it strikes, it strikes! Now body, turn to air, Or Lucifer will bear thee quick to hell. O soul, be changed into little water drops, And fall into the ocean, ne'er to be found. My God, my God, look not so fierce on me!|Dr. Faustus|Christopher Marlowe|unknown
00:00|midnight|The first night, as soon as the corporal had conducted my uncle Toby up stairs, which was about 10 - Mrs. Wadman threw herself into her arm chair, and crossing her left knee with her right, which formed a resting-place for her elbow, she reclin'd her cheek upon the palm of her hand, and leaning forwards, ruminated until midnight upon both sides of the question.|The Life and Opinions of Tristram Shandy, Gentleman|Laurence Sterne|unknown
00:00|twelve o'clock|To begin my life with the beginning of my life, I record that I was born (as I have been informed an believe) on a Friday, at twelve o'clock at night. It was remarked that the clock began to strike, and I began to cry, simultaneously.|David Copperfield|Charles Dickens|unknown
00:00|midnight|We have heard the chimes at midnight.|Henry IV|William Shakespeare|unknown
00:00|midnight|The house is empty, but Eugene sings as if he had for audience all the crowned heads of Europe. The garden door is open and the odor of wet leaves sops in and the rain blends with Eugene’s angoisse and tristesse. At midnight, after the spectators have saturated the hall with perspiration and foul breaths, I return to sleep on a bench. The exit light, swimming in a halo of tobacco smoke, sheds a faint light on the lower corner of the asbestos curtain; I close my eyes every night on an artificial eye. . . .|Tropic of Cancer|Henry Miller|unknown
00:00|twelve o’clock|“On the night after his ride to Lawrenceville a crowd sallied to New York in quest of adventure, and started back to Princeton about twelve o’clock in two machines. It had been a gay party and different stages of sobriety were represented.”|This Side of Paradise|F. Scott Fitzgerald|unknown
00:00|midnight|"""But wait till I tell you,"" he said. ""We had a midnight lunch too after all the jollification and when we sallied forth it was blue o'clock the morning after the night before"""|Ulysses|James Joyce|unknown
00:00|midnight|"""Midnight,"" you said. What is midnight to the young? And suddenly a festive blaze was flung Across five cedar trunks, snow patches showed, And a patrol car on our bumpy road Came to a crunching stop. Retake, retake!"|Pale Fire|Vladimir Nabokov|unknown
00:00|twelve|Bernardo: 'Tis now struck twelve; get thee to bed, Francisco.|Hamlet|Shakespeare|unknown
00:00|midnight|Big Ben concluded the run-up, struck and went on striking. (...) But, odder still - Big Ben had once again struck midnight. The time outside still corresponded to that registered by the stopped gilt clock, inside. Inside and outside matched exactly, but both were badly wrong. H'm.|Nights At The Circus|Angela Carter|unknown
00:00|twelve|Francisco. You come most carefully upon your hour. Bernardo. 'Tis now struck twelve. Get thee to bed, Francisco.|Hamlet|William Shakespeare|unknown
00:00|0000h|Gately can hear the horns and raised voices and u-turn squeals way down below on Wash. That indicate it's around 0000h., the switching hour.|Infinite Jest|David Foster Wallace|unknown
00:00|midnight|I was born in the city of Bombay ... On the stroke of midnight, as a matter of fact. Clock-hands joined palms in respectful greeting as I came. Oh, spell it out, spell it out: at the precise instant of India's arrival at independence, I tumbled forth into the world.|Midnight's Children|Salman Rushdie|unknown
00:00|midnight|It is midnight. The rain is beating on the windows. I am calm. All is sleeping. Nevertheless I get up and go to my desk. I can't sleep. ...|Molloy|Samuel Beckett|unknown
